datetime,value
2025-06-01 00:00:00,3.1313334
2025-06-01 00:10:00,2.7688572
2025-06-01 00:20:00,2.7111428
2025-06-01 00:30:00,2.4635715
2025-06-01 00:40:00,2.4328573
2025-06-01 00:50:00,2.4347143
2025-06-01 01:00:00,2.386625
2025-06-01 01:10:00,2.5778573
2025-06-01 01:20:00,2.6518
2025-06-01 01:30:00,2.4174
2025-06-01 01:40:00,2.2766666
2025-06-01 01:50:00,2.4296668
2025-06-01 02:00:00,2.5244446
2025-06-01 02:10:00,2.268889
2025-06-01 02:20:00,2.3123333
2025-06-01 02:30:00,2.353111
2025-06-01 02:40:00,2.4647777
2025-06-01 02:50:00,2.2894444
2025-06-01 03:00:00,2.6491
2025-06-01 03:10:00,2.958111
2025-06-01 03:20:00,3.0606666
2025-06-01 03:30:00,3.3002858
2025-06-01 03:40:00,3.312
2025-06-01 03:50:00,3.2304285
2025-06-01 04:00:00,3.4205
2025-06-01 04:10:00,3.3015714
2025-06-01 04:20:00,3.6482856
2025-06-01 04:30:00,4.187857
2025-06-01 04:40:00,4.853857
2025-06-01 04:50:00,6.424143
2025-06-01 05:00:00,6.3038335
2025-06-01 05:10:00,6.5993333
2025-06-01 05:20:00,6.586625
2025-06-01 05:30:00,7.482857
2025-06-01 05:40:00,7.668286
2025-06-01 05:50:00,9.276
2025-06-01 06:00:00,9.417
2025-06-01 06:10:00,10.69275
2025-06-01 06:20:00,14.352125
2025-06-01 06:30:00,14.5995
2025-06-01 06:40:00,16.795778
2025-06-01 06:50:00,20.233875
2025-06-01 07:00:00,23.654222
2025-06-01 07:10:00,28.891222
2025-06-01 07:20:00,33.947556
2025-06-01 07:30:00,36.68789
2025-06-01 07:40:00,35.05578
2025-06-01 07:50:00,39.593113
2025-06-01 08:00:00,41.767223
2025-06-01 08:10:00,40.3787
2025-06-01 08:20:00,44.538445
2025-06-01 08:30:00,49.680443
2025-06-01 08:40:00,54.009
2025-06-01 08:50:00,57.3587
2025-06-01 09:00:00,57.985554
2025-06-01 09:10:00,59.489502
2025-06-01 09:20:00,63.040333
2025-06-01 09:30:00,68.9388
2025-06-01 09:40:00,73.89343
2025-06-01 09:50:00,75.88425
2025-06-01 10:00:00,80.252144
2025-06-01 10:10:00,80.95187
2025-06-01 10:20:00,83.76283
2025-06-01 10:30:00,83.921715
2025-06-01 10:40:00,84.83845
2025-06-01 10:50:00,85.1408
2025-06-01 11:00:00,87.75122
2025-06-01 11:10:00,90.79178
2025-06-01 11:20:00,90.274
2025-06-01 11:30:00,88.5637
2025-06-01 11:40:00,89.62122
2025-06-01 11:50:00,91.533226
2025-06-01 12:00:00,91.089
2025-06-01 12:10:00,89.8972
2025-06-01 12:20:00,87.67833
2025-06-01 12:30:00,89.02922
2025-06-01 12:40:00,91.08678
2025-06-01 12:50:00,92.48878
2025-06-01 13:00:00,91.829285
2025-06-01 13:10:00,91.56044
2025-06-01 13:20:00,92.2722
2025-06-01 13:30:00,93.04122
2025-06-01 13:40:00,92.92089
2025-06-01 13:50:00,93.59289
2025-06-01 14:00:00,91.476
2025-06-01 14:10:00,91.077126
2025-06-01 14:20:00,90.50975
2025-06-01 14:30:00,90.18211
2025-06-01 14:40:00,88.25278
2025-06-01 14:50:00,87.308556
2025-06-01 15:00:00,87.191666
2025-06-01 15:10:00,85.55811
2025-06-01 15:20:00,84.90789
2025-06-01 15:30:00,83.79757
2025-06-01 15:40:00,82.60457
2025-06-01 15:50:00,80.70262
2025-06-01 16:00:00,77.406
2025-06-01 16:10:00,77.84857
2025-06-01 16:20:00,75.676
2025-06-01 16:30:00,74.295
2025-06-01 16:40:00,74.016
2025-06-01 16:50:00,76.08272
2025-06-01 17:00:00,73.53883
2025-06-01 17:10:00,69.740715
2025-06-01 17:20:00,66.517166
2025-06-01 17:30:00,65.966
2025-06-01 17:40:00,65.2693
2025-06-01 17:50:00,61.953114
2025-06-01 18:00:00,54.87775
2025-06-01 18:10:00,48.653778
2025-06-01 18:20:00,47.079334
2025-06-01 18:30:00,37.35978
2025-06-01 18:40:00,37.60478
2025-06-01 18:50:00,38.7277
2025-06-01 19:00:00,38.981445
2025-06-01 19:10:00,38.85978
2025-06-01 19:20:00,40.454
2025-06-01 19:30:00,40.209667
2025-06-01 19:40:00,40.920376
2025-06-01 19:50:00,40.309223
2025-06-01 20:00:00,40.325428
2025-06-01 20:10:00,40.52
2025-06-01 20:20:00,41.540833
2025-06-01 20:30:00,41.911285
2025-06-01 20:40:00,41.985714
2025-06-01 20:50:00,40.591713
2025-06-01 21:00:00,38.867287
2025-06-01 21:10:00,37.972
2025-06-01 21:20:00,36.4445
2025-06-01 21:30:00,35.868
2025-06-01 21:40:00,36.755573
2025-06-01 21:50:00,35.727142
2025-06-01 22:00:00,36.072376
2025-06-01 22:10:00,35.46057
2025-06-01 22:20:00,33.914
2025-06-01 22:30:00,31.629286
2025-06-01 22:40:00,27.430714
2025-06-01 22:50:00,30.057833
2025-06-01 23:00:00,30.519
2025-06-01 23:10:00,31.834778
2025-06-01 23:20:00,33.92325
2025-06-01 23:30:00,32.313126
2025-06-01 23:40:00,27.588223
2025-06-01 23:50:00,23.940144
2025-06-02 00:00:00,25.937286
2025-06-02 00:10:00,28.32225
2025-06-02 00:20:00,30.63975
2025-06-02 00:30:00,30.556143
2025-06-02 00:40:00,30.883572
2025-06-02 00:50:00,29.659143
2025-06-02 01:00:00,29.849285
2025-06-02 01:10:00,30.082144
2025-06-02 01:20:00,30.2632
2025-06-02 01:30:00,30.383
2025-06-02 01:40:00,30.623
2025-06-02 01:50:00,29.734571
2025-06-02 02:00:00,28.907858
2025-06-02 02:10:00,28.621166
2025-06-02 02:20:00,28.324375
2025-06-02 02:30:00,27.645287
2025-06-02 02:40:00,27.472286
2025-06-02 02:50:00,26.545572
2025-06-02 03:00:00,25.904572
2025-06-02 03:10:00,26.215166
2025-06-02 03:20:00,26.515429
2025-06-02 03:30:00,27.255142
2025-06-02 03:40:00,27.497572
2025-06-02 03:50:00,28.581715
2025-06-02 04:00:00,28.512
2025-06-02 04:10:00,28.789429
2025-06-02 04:20:00,28.106428
2025-06-02 04:30:00,27.664
2025-06-02 04:40:00,28.7395
2025-06-02 04:50:00,28.712143
2025-06-02 05:00:00,29.380833
2025-06-02 05:10:00,29.807167
2025-06-02 05:20:00,29.454
2025-06-02 05:30:00,29.0735
2025-06-02 05:40:00,29.059666
2025-06-02 05:50:00,28.972124
2025-06-02 06:00:00,28.277222
2025-06-02 06:10:00,28.249222
2025-06-02 06:20:00,27.841888
2025-06-02 06:30:00,26.9755
2025-06-02 06:40:00,26.308222
2025-06-02 06:50:00,25.8011
2025-06-02 07:00:00,25.3195
2025-06-02 07:10:00,23.748777
2025-06-02 07:20:00,23.30189
2025-06-02 07:30:00,21.410223
2025-06-02 07:40:00,20.984667
2025-06-02 07:50:00,19.9825
2025-06-02 08:00:00,19.5853
2025-06-02 08:10:00,18.855444
2025-06-02 08:20:00,18.153667
2025-06-02 08:30:00,17.601715
2025-06-02 08:40:00,17.9299
2025-06-02 08:50:00,17.323778
2025-06-02 09:00:00,15.893556
2025-06-02 09:10:00,13.791
2025-06-02 09:20:00,11.432777
2025-06-02 09:30:00,10.3116665
2025-06-02 09:40:00,9.962778
2025-06-02 09:50:00,9.991889
2025-06-02 10:00:00,10.439667
2025-06-02 10:10:00,10.585
2025-06-02 10:20:00,11.064222
2025-06-02 10:30:00,10.8812
2025-06-02 10:40:00,9.824889
2025-06-02 10:50:00,9.815444
2025-06-02 11:00:00,9.300111
2025-06-02 11:10:00,9.026
2025-06-02 11:20:00,9.278444
2025-06-02 11:30:00,9.073714
2025-06-02 11:40:00,8.179
2025-06-02 11:50:00,7.9581003
2025-06-02 12:00:00,7.7814445
2025-06-02 12:10:00,7.5575
2025-06-02 12:20:00,7.403111
2025-06-02 12:30:00,7.193556
2025-06-02 12:40:00,6.7850003
2025-06-02 12:50:00,6.608375
2025-06-02 13:00:00,6.732222
2025-06-02 13:10:00,6.95075
2025-06-02 13:20:00,7.3035717
2025-06-02 13:30:00,7.4945
2025-06-02 13:40:00,7.4571
2025-06-02 13:50:00,7.0184445
2025-06-02 14:00:00,6.5983334
2025-06-02 14:10:00,6.6103334
2025-06-02 14:20:00,6.8726
2025-06-02 14:30:00,7.382167
2025-06-02 14:40:00,8.401143
2025-06-02 14:50:00,9.044572
2025-06-02 15:00:00,9.459143
2025-06-02 15:10:00,10.6708
2025-06-02 15:20:00,11.025857
2025-06-02 15:30:00,10.749001
2025-06-02 15:40:00,10.856833
2025-06-02 15:50:00,10.767428
2025-06-02 16:00:00,10.834714
2025-06-02 16:10:00,11.157143
2025-06-02 16:20:00,11.303572
2025-06-02 16:30:00,11.732333
2025-06-02 16:40:00,12.029285
2025-06-02 16:50:00,12.273572
2025-06-02 17:00:00,11.8245
2025-06-02 17:10:00,12.088572
2025-06-02 17:20:00,11.816143
2025-06-02 17:30:00,11.227
2025-06-02 17:40:00,11.395857
2025-06-02 17:50:00,11.805166
2025-06-02 18:00:00,10.77475
2025-06-02 18:10:00,10.85725
2025-06-02 18:20:00,10.282222
2025-06-02 18:30:00,10.6623335
2025-06-02 18:40:00,10.070222
2025-06-02 18:50:00,10.020223
2025-06-02 19:00:00,9.822889
2025-06-02 19:10:00,9.6779995
2025-06-02 19:20:00,10.038111
2025-06-02 19:30:00,9.705833
2025-06-02 19:40:00,8.995571
2025-06-02 19:50:00,9.326111
2025-06-02 20:00:00,8.978222
